epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.72373,0,0,316.449,0,0.51654,0.40625,0.43709,0.36375,0.71671,0.40625,0.489,0.37529,0.66754,1.17408,2.54354,0.94169,2e-05,2e-05,2e-05
2,8.04143,0,0,327.628,0,0.53501,0.46748,0.42201,0.33652,0.872,0.375,0.48916,0.36264,0.70198,1.18285,2.59713,0.98003,5.99406e-05,5.99406e-05,5.99406e-05
3,8.87892,0,0,339.058,0,0.53704,0.5077,0.41831,0.30462,0.58622,0.5,0.49084,0.34359,0.72486,1.20364,2.64019,1.01228,9.9802e-05,9.9802e-05,9.9802e-05
4,9.74386,0,0,340.611,0,0.49081,0.46875,0.39812,0.26568,0.52797,0.5,0.48472,0.30277,0.75531,1.23196,2.69863,1.05133,0.000139584,0.000139584,0.000139584
5,10.5623,0,0,351.702,0,0.48309,0.40625,0.33557,0.21376,0.52488,0.4375,0.38455,0.24042,0.79965,1.27605,2.76096,1.08004,0.000179287,0.000179287,0.000179287
6,11.3874,0,0,329.463,0,0.55021,0.375,0.36404,0.21533,0.60214,0.40625,0.41632,0.25812,0.83165,1.31266,2.84055,1.11973,0.000218911,0.000218911,0.000218911
7,12.827,0,0,332.445,0,0.26819,0.25,0.12813,0.09184,0.26819,0.25,0.14283,0.10281,0.83703,1.69374,3.14339,1.14008,0.000258456,0.000258456,0.000258456
8,14.4114,0,0,299.768,0,0.06293,0.25,0.03367,0.01702,0.03933,0.15625,0.02955,0.01159,1.20014,2.73932,3.89742,1.6554,0.000297921,0.000297921,0.000297921
9,15.9793,0,0,257.683,0,0.07946,0.09375,0.04132,0.01805,0.12068,0.0625,0.03977,0.01399,1.19296,2.70265,3.89624,1.64684,0.000337307,0.000337307,0.000337307
10,17.46,0,0,249.135,0,0.04653,0.34375,0.02874,0.0134,0.04491,0.1875,0.02293,0.00938,1.70479,4.21424,3.94997,2.11624,0.000376614,0.000376614,0.000376614
11,18.8925,0,0,190.694,0,0.05307,0.1875,0.02661,0.01067,0.01964,0.0625,0.01207,0.00619,2.0152,5.72512,3.78164,2.28884,0.000415842,0.000415842,0.000415842
12,20.3281,0,0,158.933,0,0.0125,0.46875,0.01982,0.00744,0.00667,0.25,0.00639,0.00234,2.24468,7.34836,3.79435,2.3697,0.000454991,0.000454991,0.000454991
13,21.8603,0,0,133.846,0,0.00917,0.34375,0.01296,0.00343,0.00333,0.125,0.00226,0.00077,2.50786,9.23594,3.84503,2.63622,0.00049406,0.00049406,0.00049406
14,23.2749,0,0,109.74,0,0.01083,0.40625,0.0161,0.00552,0,0,0,0,2.94894,9.18921,3.8619,2.93466,0.00053305,0.00053305,0.00053305
15,24.7474,0,0,87.8112,0,0.00833,0.3125,0.01214,0.00288,0.00083,0.03125,0.00094,0.00028,3.28489,9.57024,3.88098,3.18282,0.000571961,0.000571961,0.000571961
16,26.1641,0,0,72.09,0,0.44402,0.03125,0.02763,0.0138,0,0,0,0,3.54834,12.8355,3.94542,3.51126,0.000610793,0.000610793,0.000610793
17,27.7465,0,0,54.9074,0,0,0,0,0,0,0,0,0,4.40693,21.502,4.81318,5.71908,0.000649546,0.000649546,0.000649546
18,29.2459,0,0,45.9761,0,0.00167,0.0625,0.00089,0.00022,0,0,0,0,4.20296,65.3197,30.8544,9.5294,0.000688219,0.000688219,0.000688219
19,30.7406,0,0,35.8809,0,0.0023,0.03125,0.00051,0.00015,0,0,0,0,nan,nan,nan,nan,0.000726813,0.000726813,0.000726813
20,32.2466,0,0,28.1869,0,0.00646,0.21875,0.00399,0.00116,0,0,0,0,nan,nan,nan,nan,0.000765328,0.000765328,0.000765328
21,33.7121,0,0,22.247,0,0.07143,0.09375,0.0491,0.00491,0,0,0,0,nan,nan,nan,nan,0.000803764,0.000803764,0.000803764
22,35.161,0,0,17.6242,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000842121,0.000842121,0.000842121
23,36.5477,0,0,16.2652,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000880398,0.000880398,0.000880398
24,37.9585,0,0,13.4719,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000918596,0.000918596,0.000918596
25,39.444,0,0,12.642,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000956715,0.000956715,0.000956715
26,40.7943,0,0,9.24814,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000994755,0.000994755,0.000994755
27,42.2471,0,0,7.48511,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00103272,0.00103272,0.00103272
28,43.5413,0,0,6.36738,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0010706,0.0010706,0.0010706
29,44.9161,0,0,6.0842,0,0,0,0,0,0,0,0,0,nan,411.968,nan,nan,0.0011084,0.0011084,0.0011084
30,46.298,0,0,4.66139,0,0,0,0,0,0,0,0,0,nan,1313.52,nan,nan,0.00114612,0.00114612,0.00114612
31,47.7314,0,0,3.49826,0,0,0,0,0,0,0,0,0,nan,1313.52,nan,nan,0.00118377,0.00118377,0.00118377
32,49.0913,0,0,3.65585,0,0,0,0,0,0,0,0,0,4.77852,29.3483,8.00684,5.51596,0.00122133,0.00122133,0.00122133
33,50.5115,0,0,2.84328,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00125882,0.00125882,0.00125882
34,51.8915,0,0,2.20347,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00129622,0.00129622,0.00129622
35,53.2678,0,0,2.19002,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00133355,0.00133355,0.00133355
