epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4798,1.61346,4.1761,1.59282,0.06544,0.35784,0.09059,0.04732,1.58704,8.76975,1.66464,0.00328638,0.00328638,0.00328638
2,47.7196,1.5544,2.33128,1.54601,0.10666,0.46569,0.12285,0.0611,1.59986,5.48248,1.51231,0.00661316,0.00661316,0.00661316
3,71.6684,1.52774,2.20492,1.51376,0.49463,0.5098,0.50835,0.26916,1.4081,5.28683,1.35552,0.00993334,0.00993334,0.00993334
4,95.6193,1.51167,1.82954,1.49119,0.47818,0.43627,0.42872,0.21099,1.7793,4.40563,1.72636,0.0099703,0.0099703,0.0099703
5,118.993,1.48382,1.71161,1.46348,0.57354,0.51423,0.50493,0.2329,1.67262,23.7104,1.50685,0.0099604,0.0099604,0.0099604
6,142.526,1.51937,1.63578,1.4528,0.39764,0.43137,0.36065,0.14206,1.87354,11.7108,1.74861,0.0099505,0.0099505,0.0099505
7,166.124,1.48439,1.55276,1.4404,0.53142,0.61765,0.59101,0.29913,1.48512,13.1004,1.4208,0.0099406,0.0099406,0.0099406
8,190.433,1.45425,1.57095,1.41996,0.605,0.5,0.58103,0.329,1.42563,3.3019,1.42286,0.0099307,0.0099307,0.0099307
9,214.594,1.46604,1.47418,1.41183,0.50209,0.40534,0.42511,0.21139,1.74874,4.51134,1.8159,0.0099208,0.0099208,0.0099208
10,238.264,1.45396,1.4171,1.41957,0.81548,0.41163,0.57061,0.31066,1.6079,2.78508,1.58093,0.0099109,0.0099109,0.0099109
11,261.906,1.44126,1.45168,1.42303,0.52912,0.57843,0.5587,0.27249,1.63238,6.47494,1.60588,0.009901,0.009901,0.009901
12,285.636,1.42831,1.40672,1.40093,0.60669,0.68627,0.69905,0.38904,1.43143,12.1791,1.34299,0.0098911,0.0098911,0.0098911
13,309.985,1.38213,1.3647,1.37678,0.71146,0.70104,0.7482,0.41535,1.34548,13.8711,1.27414,0.0098812,0.0098812,0.0098812
14,334.413,1.37496,1.32963,1.36577,0.68594,0.7402,0.75181,0.38238,1.55959,10.2174,1.45121,0.0098713,0.0098713,0.0098713
15,358.107,1.38059,1.34651,1.32649,0.65786,0.62745,0.68667,0.39892,1.29618,7.23677,1.26365,0.0098614,0.0098614,0.0098614
16,381.779,1.35872,1.22209,1.35123,0.70743,0.56863,0.67185,0.3907,1.37056,2.2072,1.31652,0.0098515,0.0098515,0.0098515
17,405.592,1.35808,1.26386,1.35182,0.69845,0.62255,0.70538,0.38458,1.50659,7.31774,1.41174,0.0098416,0.0098416,0.0098416
18,429.358,1.37533,1.24022,1.36264,0.74725,0.63725,0.74737,0.44126,1.32286,4.35889,1.31152,0.0098317,0.0098317,0.0098317
19,453.745,1.35004,1.28181,1.35916,0.58013,0.2451,0.24622,0.11006,1.57274,4.2212,1.4944,0.0098218,0.0098218,0.0098218
20,477.546,1.35961,1.25391,1.35607,0.67496,0.67183,0.71234,0.37692,1.5233,2.67152,1.52148,0.0098119,0.0098119,0.0098119
21,501.355,1.35176,1.21513,1.3499,0.72144,0.76471,0.80097,0.41801,1.55589,8.20784,1.43788,0.009802,0.009802,0.009802
22,525.204,1.34452,1.25038,1.36172,0.72325,0.71741,0.75067,0.4132,1.43759,4.51176,1.44727,0.0097921,0.0097921,0.0097921
23,548.978,1.33522,1.22099,1.3541,0.78834,0.75,0.84114,0.48867,1.27389,6.04713,1.24281,0.0097822,0.0097822,0.0097822
24,573.424,1.3049,1.17601,1.33026,0.75897,0.71569,0.79394,0.45965,1.40351,8.4816,1.40584,0.0097723,0.0097723,0.0097723
