epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.857,0.32022,0.26256,0.84276,0.9019,0.76961,0.8877,0.63812,1.35961,1.18801,1.50689,0.00328431,0.00328431,0.00328431
2,64.943,0.34392,0.27671,0.85581,0.89218,0.7301,0.8619,0.61827,1.25572,1.21356,1.40931,0.00661437,0.00661437,0.00661437
3,86.8516,0.37118,0.29137,0.86143,0.94648,0.6935,0.84255,0.60883,1.31968,1.35932,1.48345,0.00994113,0.00994113,0.00994113
4,108.758,0.40504,0.31464,0.86465,0.82913,0.78495,0.8518,0.59237,1.36753,2.71877,1.50916,0.00998515,0.00998515,0.00998515
5,130.716,0.42797,0.31973,0.8677,0.82329,0.75367,0.83256,0.57814,1.3468,1.27411,1.36061,0.0099802,0.0099802,0.0099802
6,152.844,0.47231,0.35934,0.88943,0.83624,0.71078,0.81636,0.55966,1.34718,1.4209,1.46262,0.00997525,0.00997525,0.00997525
7,175.458,0.47176,0.36549,0.88172,0.83562,0.74759,0.81554,0.56028,1.33987,1.66095,1.40341,0.0099703,0.0099703,0.0099703
8,196.984,0.47523,0.35635,0.88276,0.87532,0.7571,0.87209,0.59292,1.45396,1.487,1.58584,0.00996535,0.00996535,0.00996535
9,218.663,0.48786,0.36606,0.88536,0.8136,0.70607,0.82244,0.54899,1.35989,1.48517,1.33929,0.0099604,0.0099604,0.0099604
10,240.364,0.48378,0.35791,0.88575,0.81264,0.73039,0.83031,0.55114,1.38235,2.97012,1.46467,0.00995545,0.00995545,0.00995545
11,261.993,0.49993,0.38225,0.8985,0.9152,0.63489,0.79991,0.5528,1.4261,1.90965,1.44623,0.0099505,0.0099505,0.0099505
12,283.881,0.51649,0.40282,0.90784,0.81556,0.76471,0.80188,0.53798,1.56411,2.14691,1.86639,0.00994555,0.00994555,0.00994555
13,306.607,0.50629,0.38473,0.8983,0.83571,0.77451,0.84177,0.56129,1.36465,2.08841,1.52346,0.0099406,0.0099406,0.0099406
14,329.73,0.49872,0.3789,0.89239,0.85697,0.77941,0.85205,0.55859,1.41119,1.26284,1.55774,0.00993565,0.00993565,0.00993565
15,352.49,0.49961,0.38741,0.89792,0.84674,0.73123,0.80818,0.53179,1.41886,2.54694,1.52362,0.0099307,0.0099307,0.0099307
16,375.006,0.50667,0.39087,0.89146,0.87988,0.71815,0.83335,0.5573,1.39088,1.82291,1.5156,0.00992575,0.00992575,0.00992575
17,397.583,0.50514,0.38148,0.89127,0.89984,0.73529,0.82117,0.54827,1.32081,1.60408,1.42229,0.0099208,0.0099208,0.0099208
18,420.144,0.49493,0.37391,0.89141,0.77236,0.79902,0.81352,0.54019,1.43948,3.12178,1.44633,0.00991585,0.00991585,0.00991585
19,442.763,0.50841,0.38376,0.89252,0.85082,0.7549,0.82506,0.53631,1.47959,1.60757,1.54418,0.0099109,0.0099109,0.0099109
20,465.443,0.51629,0.38478,0.90044,0.86659,0.72549,0.83645,0.56374,1.37586,2.13562,1.47981,0.00990595,0.00990595,0.00990595
21,488.101,0.5186,0.39364,0.89656,0.80766,0.7616,0.80571,0.53672,1.39636,2.45531,1.48285,0.009901,0.009901,0.009901
22,510.65,0.51173,0.39459,0.9011,0.84804,0.70588,0.82062,0.55606,1.39232,1.5006,1.49926,0.00989605,0.00989605,0.00989605
23,533.261,0.49578,0.39166,0.88243,0.7947,0.759,0.82124,0.55069,1.40853,1.2657,1.50844,0.0098911,0.0098911,0.0098911
24,555.869,0.49492,0.37501,0.89148,0.862,0.67363,0.79258,0.54561,1.35993,1.32923,1.41558,0.00988615,0.00988615,0.00988615
25,578.581,0.49192,0.37806,0.89127,0.91334,0.65196,0.78852,0.53661,1.44226,1.49478,1.51487,0.0098812,0.0098812,0.0098812
26,601.304,0.50987,0.39252,0.89701,0.80314,0.7598,0.82663,0.54533,1.41514,1.66401,1.54071,0.00987625,0.00987625,0.00987625
27,624.059,0.51291,0.38991,0.90057,0.79357,0.7549,0.79648,0.53402,1.4021,1.62187,1.47805,0.0098713,0.0098713,0.0098713
28,646.768,0.51229,0.42256,0.90355,0.83654,0.80392,0.86588,0.57759,1.22855,1.72439,1.39318,0.00986635,0.00986635,0.00986635
29,669.453,0.49634,0.37801,0.88772,0.82665,0.7714,0.83835,0.56183,1.24419,2.19916,1.40717,0.0098614,0.0098614,0.0098614
30,692.19,0.51141,0.38856,0.89746,0.82321,0.73039,0.82108,0.54687,1.27494,2.77555,1.35813,0.00985645,0.00985645,0.00985645
31,714.852,0.51169,0.38852,0.89459,0.82637,0.76993,0.85178,0.56071,1.48127,1.63842,1.54163,0.0098515,0.0098515,0.0098515
32,737.554,0.50308,0.38194,0.88431,0.89575,0.716,0.84285,0.55896,1.41752,2.12126,1.5045,0.00984655,0.00984655,0.00984655
