epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1312,0.57559,0.44159,0.93433,0.85919,0.85294,0.91662,0.59715,1.20028,1.17721,1.28194,0.00328431,0.00328431,0.00328431
2,108.215,0.57463,0.43001,0.94855,0.89104,0.84186,0.89198,0.58108,1.21545,1.75268,1.33954,0.00661437,0.00661437,0.00661437
3,165.204,0.58305,0.43729,0.95086,0.83903,0.81763,0.87501,0.57304,1.34908,1.8121,1.42314,0.00994113,0.00994113,0.00994113
4,217.36,0.6244,0.47185,0.96437,0.82088,0.83121,0.86569,0.54731,1.32622,1.64477,1.37835,0.00998515,0.00998515,0.00998515
5,264.52,0.61825,0.46737,0.95973,0.84131,0.77451,0.83957,0.5406,1.33188,1.18644,1.3999,0.0099802,0.0099802,0.0099802
6,303.604,0.65297,0.51511,0.9844,0.89873,0.73959,0.86644,0.53755,1.33527,1.75406,1.37921,0.00997525,0.00997525,0.00997525
7,342.98,0.65053,0.50134,0.9731,0.84955,0.77503,0.83214,0.52644,1.30952,2.42761,1.35563,0.0099703,0.0099703,0.0099703
8,379.857,0.65668,0.50002,0.97377,0.87094,0.76085,0.84129,0.54599,1.27276,1.92239,1.31814,0.00996535,0.00996535,0.00996535
9,420.617,0.65341,0.49347,0.97716,0.82386,0.81373,0.8472,0.53928,1.30123,1.22614,1.36005,0.0099604,0.0099604,0.0099604
10,461.808,0.65775,0.49822,0.98871,0.83007,0.79018,0.86497,0.54968,1.2269,1.92191,1.32445,0.00995545,0.00995545,0.00995545
11,500.889,0.67214,0.50174,0.99736,0.84714,0.78785,0.86806,0.54813,1.21663,1.52759,1.30584,0.0099505,0.0099505,0.0099505
12,539.389,0.67411,0.52604,1.00113,0.78683,0.80882,0.82593,0.50742,1.33008,1.2549,1.38383,0.00994555,0.00994555,0.00994555
13,577.88,0.68118,0.54576,1.00039,0.85404,0.79902,0.85334,0.5387,1.30834,1.23719,1.34871,0.0099406,0.0099406,0.0099406
14,616.433,0.6674,0.51785,0.98713,0.84105,0.83,0.85189,0.54198,1.28529,3.65667,1.34051,0.00993565,0.00993565,0.00993565
15,655.256,0.66484,0.50068,0.99232,0.83305,0.79902,0.83355,0.52807,1.38754,2.02307,1.41294,0.0099307,0.0099307,0.0099307
16,693.198,0.66052,0.50071,0.96915,0.85281,0.82366,0.87904,0.58593,1.17328,2.37664,1.27795,0.00992575,0.00992575,0.00992575
17,732.745,0.6487,0.49403,0.97548,0.86896,0.77941,0.86917,0.54206,1.28656,1.83794,1.34099,0.0099208,0.0099208,0.0099208
18,770.531,0.63763,0.48925,0.96989,0.82976,0.80882,0.85071,0.53197,1.36121,4.16417,1.42365,0.00991585,0.00991585,0.00991585
19,810.198,0.6397,0.51247,0.97924,0.86997,0.7598,0.86746,0.55156,1.30689,1.47818,1.36919,0.0099109,0.0099109,0.0099109
20,849.496,0.65926,0.50898,0.98489,0.81802,0.82843,0.85501,0.57012,1.30971,1.9753,1.39063,0.00990595,0.00990595,0.00990595
21,888.091,0.65584,0.49938,0.98001,0.9057,0.77941,0.8835,0.56194,1.27212,1.56953,1.36212,0.009901,0.009901,0.009901
22,926.735,0.68175,0.50453,0.99303,0.82406,0.78062,0.85024,0.54291,1.33327,3.05984,1.37453,0.00989605,0.00989605,0.00989605
23,965.048,0.66354,0.51615,0.97357,0.85127,0.8417,0.88339,0.55877,1.30949,1.82313,1.37728,0.0098911,0.0098911,0.0098911
24,1004.53,0.64221,0.49789,0.97076,0.7964,0.84368,0.86685,0.54882,1.2741,2.77199,1.34221,0.00988615,0.00988615,0.00988615
25,1043.75,0.64903,0.50363,0.98586,0.83539,0.77941,0.8336,0.52774,1.29355,1.23352,1.35819,0.0098812,0.0098812,0.0098812
26,1079.08,0.65885,0.53117,0.9772,0.87679,0.76745,0.8614,0.54334,1.25782,2.22274,1.34867,0.00987625,0.00987625,0.00987625
27,1114.54,0.66125,0.51873,0.98026,0.78149,0.88725,0.86306,0.54514,1.24083,2.82353,1.31938,0.0098713,0.0098713,0.0098713
28,1150.29,0.65604,0.53687,0.98284,0.83945,0.80392,0.85313,0.51702,1.35812,2.13948,1.42978,0.00986635,0.00986635,0.00986635
29,1192.77,0.64557,0.48169,0.96331,0.8291,0.80392,0.83774,0.5213,1.26407,2.06316,1.33296,0.0098614,0.0098614,0.0098614
30,1229.25,0.66528,0.49998,0.97724,0.8325,0.85271,0.87613,0.5566,1.22381,0.91833,1.33936,0.00985645,0.00985645,0.00985645
