epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1997,1.0441,3.79541,1.25779,0.11955,0.53598,0.15131,0.10813,0.74564,8.19741,0.94083,0.000363212,0.000363212,0.000363212
2,51.0968,1.13728,2.52375,1.33729,0.13844,0.54748,0.17911,0.12708,0.73546,20.4925,0.92407,0.000726283,0.000726283,0.000726283
3,70.1333,1.09836,2.09804,1.27889,0.18949,0.46462,0.22041,0.14604,0.86102,77.94,1.11635,0.00108202,0.00108202,0.00108202
4,89.2351,1.20389,1.95641,1.30596,0.2536,0.43538,0.30596,0.2027,0.91565,5.4276,1.06376,0.001078,0.001078,0.001078
5,108.336,1.19311,1.86952,1.30389,0.46194,0.41841,0.31132,0.19699,0.89326,8.20398,1.02548,0.001067,0.001067,0.001067
6,126.537,1.18561,1.78071,1.31021,0.46485,0.45009,0.32631,0.22234,0.83923,7.00954,0.9965,0.00105601,0.00105601,0.00105601
7,145.786,1.18168,1.7266,1.29422,0.43839,0.50026,0.28961,0.1964,0.87111,9.09026,1.01856,0.00104501,0.00104501,0.00104501
8,164.136,1.18945,1.73997,1.29862,0.27612,0.60529,0.32526,0.21718,0.87043,4.41667,1.00737,0.00103401,0.00103401,0.00103401
9,182.478,1.12906,1.68993,1.26913,0.51328,0.38654,0.37474,0.23819,0.89843,8.38991,0.99403,0.00102301,0.00102301,0.00102301
10,201.607,1.10439,1.58367,1.24581,0.37947,0.64809,0.38772,0.25967,0.88693,6.37039,1.01302,0.00101201,0.00101201,0.00101201
11,220.812,1.07213,1.5496,1.20754,0.35984,0.66137,0.44808,0.31258,0.82636,5.19343,0.96673,0.00100101,0.00100101,0.00100101
12,239.963,1.02575,1.43247,1.20272,0.37473,0.6085,0.40836,0.28015,0.83797,3.30628,0.97593,0.000990012,0.000990012,0.000990012
13,258.457,1.0558,1.47784,1.20145,0.39857,0.63566,0.44023,0.3117,0.80846,7.1202,0.95951,0.000979013,0.000979013,0.000979013
14,276.716,1.01389,1.43776,1.18409,0.40169,0.54214,0.44054,0.30586,0.82052,4.24407,0.95513,0.000968014,0.000968014,0.000968014
15,295.002,1.06284,1.39792,1.21228,0.43497,0.63517,0.46675,0.31183,0.87639,4.95854,0.98111,0.000957015,0.000957015,0.000957015
16,314.134,1.00638,1.33929,1.17649,0.43694,0.57312,0.48555,0.34829,0.83426,5.39726,0.97995,0.000946016,0.000946016,0.000946016
17,333.257,0.97157,1.34171,1.14166,0.39761,0.71635,0.45575,0.31766,0.86365,9.88456,1.02183,0.000935018,0.000935018,0.000935018
18,351.528,0.94103,1.32545,1.12875,0.37219,0.62791,0.44849,0.32093,0.82713,5.44907,1.02401,0.000924019,0.000924019,0.000924019
19,369.833,0.96207,1.32223,1.14157,0.55619,0.54525,0.51769,0.36977,0.80188,4.01446,0.96967,0.00091302,0.00091302,0.00091302
20,388.887,0.92106,1.19023,1.12455,0.43568,0.55323,0.45252,0.31909,0.83362,5.77136,1.00963,0.000902021,0.000902021,0.000902021
