epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2702,1.47075,2.98197,1.69092,0.20681,0.94118,0.62344,0.34496,1.37054,inf,1.71003,0.00016,0.00016,0.00016
2,28.3543,1.43422,1.26848,1.49005,0.03369,0.64706,0.02803,0.01488,1.81396,inf,2.56644,0.000339663,0.000339663,0.000339663
3,43.738,1.40609,1.14343,1.47386,0,0,0,0,nan,nan,nan,0.00051897,0.00051897,0.00051897
4,60.186,1.41095,1.16782,1.47297,0.00044,0.01014,0.00022,7e-05,nan,nan,nan,0.000697921,0.000697921,0.000697921
5,76.298,1.50234,1.25119,1.48606,0.05618,0.01014,0.02849,0.01203,nan,nan,nan,0.000876515,0.000876515,0.000876515
6,89.6491,1.40136,1.0746,1.49392,0.00388,0.00609,0.00074,0.0001,nan,nan,nan,0.00105475,0.00105475,0.00105475
7,103.521,1.4548,1.13514,1.51838,0,0,0,0,nan,nan,nan,0.00123263,0.00123263,0.00123263
8,115.084,1.42549,1.1251,1.52368,0,0,0,0,nan,nan,nan,0.00141016,0.00141016,0.00141016
9,127.88,1.52272,1.07225,1.49184,0,0,0,0,nan,nan,nan,0.00158733,0.00158733,0.00158733
10,138.527,1.42578,1.0448,1.45099,0.00088,0.01014,0.00045,0.00011,nan,nan,nan,0.00176414,0.00176414,0.00176414
11,147.43,1.5544,1.07802,1.57066,0.005,0.03854,0.00206,0.00046,nan,nan,nan,0.0019406,0.0019406,0.0019406
12,155.804,1.51925,1.07,1.58456,0.04977,0.06491,0.02679,0.00882,nan,nan,nan,0.00197822,0.00197822,0.00197822
13,163.659,1.44672,0.98512,1.51962,0.1875,0.01217,0.09676,0.03349,nan,nan,nan,0.00197624,0.00197624,0.00197624
14,171.501,1.48171,0.99267,1.53506,0,0,0,0,nan,nan,nan,0.00197426,0.00197426,0.00197426
15,180.123,1.42451,0.94966,1.44922,0.02797,0.00609,0.00324,0.00171,nan,nan,nan,0.00197228,0.00197228,0.00197228
16,187.893,1.42953,0.94126,1.48878,0,0,0,0,0,11.7266,0,0.0019703,0.0019703,0.0019703
17,195.395,1.41395,0.91754,1.47233,0.07966,0.02231,0.01014,0.00312,1.72806,7.66276,7.23395,0.00196832,0.00196832,0.00196832
18,204.979,1.39789,0.94656,1.44563,0.40286,0.15619,0.10736,0.04505,2.97257,7.5304,8.22942,0.00196634,0.00196634,0.00196634
19,215.34,1.37963,0.88041,1.4675,0.62015,0.61663,0.63998,0.28581,2.02661,5.88982,2.38452,0.00196436,0.00196436,0.00196436
20,227.236,1.41219,0.86679,1.40845,0,0,0,0,4.48151,38.0055,6.84044,0.00196238,0.00196238,0.00196238
21,236.02,1.38491,0.90655,1.4538,0.71472,0.69371,0.72321,0.37233,1.59566,2.98224,2.06217,0.0019604,0.0019604,0.0019604
