epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.38348,1.59557,0.79032,0.97581,0.99023,0.00328042,0.00328042,0.00328042
2,6.40625,0.86002,0.83065,0.99194,0.47205,0.00660721,0.00660721,0.00660721
3,9.08581,0.58564,0.85484,1,0.5127,0.00992739,0.00992739,0.00992739
4,11.667,0.54071,0.87903,1,0.33768,0.0099703,0.0099703,0.0099703
5,14.2385,0.51597,0.83065,1,0.55316,0.0099604,0.0099604,0.0099604
6,16.7355,0.46068,0.78226,0.99194,0.60138,0.0099505,0.0099505,0.0099505
7,19.2718,0.43573,0.83871,1,0.54303,0.0099406,0.0099406,0.0099406
8,21.7862,0.37868,0.8871,1,0.43565,0.0099307,0.0099307,0.0099307
9,24.3397,0.37816,0.82258,1,0.58592,0.0099208,0.0099208,0.0099208
10,26.9188,0.4289,0.79032,0.99194,0.87292,0.0099109,0.0099109,0.0099109
11,29.4394,0.37532,0.74194,1,0.95996,0.009901,0.009901,0.009901
12,31.9003,0.3813,0.81452,1,0.59,0.0098911,0.0098911,0.0098911
13,34.419,0.37826,0.8629,1,0.4982,0.0098812,0.0098812,0.0098812
14,36.9522,0.37788,0.8629,1,0.57819,0.0098713,0.0098713,0.0098713
15,39.5,0.3804,0.82258,1,0.57245,0.0098614,0.0098614,0.0098614
16,42.0341,0.41828,0.81452,1,0.50946,0.0098515,0.0098515,0.0098515
17,44.5355,0.35979,0.75806,1,0.66174,0.0098416,0.0098416,0.0098416
18,47.0346,0.37416,0.85484,0.99194,0.58942,0.0098317,0.0098317,0.0098317
19,49.5517,0.32038,0.79032,1,0.7233,0.0098218,0.0098218,0.0098218
20,52.1017,0.34294,0.81452,1,0.61224,0.0098119,0.0098119,0.0098119
21,54.5837,0.31652,0.79032,1,0.64117,0.009802,0.009802,0.009802
22,57.1227,0.35532,0.83065,1,0.51389,0.0097921,0.0097921,0.0097921
23,59.6336,0.31352,0.79032,1,0.75574,0.0097822,0.0097822,0.0097822
24,62.167,0.33384,0.65323,1,1.11389,0.0097723,0.0097723,0.0097723
25,64.7337,0.35637,0.77419,0.99194,0.89709,0.0097624,0.0097624,0.0097624
26,67.2359,0.32862,0.83065,1,0.59436,0.0097525,0.0097525,0.0097525
27,69.7189,0.3291,0.78226,1,0.86133,0.0097426,0.0097426,0.0097426
28,72.2004,0.36984,0.72581,1,1.09912,0.0097327,0.0097327,0.0097327
29,74.7385,0.37218,0.76613,1,1.07617,0.0097228,0.0097228,0.0097228
30,77.2674,0.33179,0.79839,1,0.70746,0.0097129,0.0097129,0.0097129
31,79.7846,0.28531,0.79839,0.98387,0.8136,0.009703,0.009703,0.009703
32,82.3011,0.32886,0.79839,1,0.84656,0.0096931,0.0096931,0.0096931
33,84.867,0.36633,0.77419,1,0.79449,0.0096832,0.0096832,0.0096832
34,87.3862,0.31219,0.8629,1,0.63629,0.0096733,0.0096733,0.0096733
35,89.9176,0.28761,0.81452,1,0.69824,0.0096634,0.0096634,0.0096634
36,92.4347,0.30609,0.79032,1,0.92981,0.0096535,0.0096535,0.0096535
37,94.9849,0.30326,0.81452,1,0.59589,0.0096436,0.0096436,0.0096436
38,97.5185,0.28945,0.5,0.96774,2.38037,0.0096337,0.0096337,0.0096337
39,100.072,0.2699,0.79032,1,0.64935,0.0096238,0.0096238,0.0096238
40,102.6,0.30272,0.81452,1,0.62872,0.0096139,0.0096139,0.0096139
41,105.136,0.2325,0.80645,1,0.62579,0.009604,0.009604,0.009604
42,107.655,0.3072,0.8629,1,0.60846,0.0095941,0.0095941,0.0095941
43,110.236,0.28569,0.81452,0.98387,0.74023,0.0095842,0.0095842,0.0095842
44,112.717,0.25104,0.77419,0.99194,0.86414,0.0095743,0.0095743,0.0095743
45,115.218,0.27396,0.77419,1,1.05615,0.0095644,0.0095644,0.0095644
46,117.7,0.2827,0.78226,0.99194,1.01337,0.0095545,0.0095545,0.0095545
47,120.221,0.23753,0.77419,1,0.90063,0.0095446,0.0095446,0.0095446
48,122.788,0.25856,0.79839,1,0.86255,0.0095347,0.0095347,0.0095347
49,125.333,0.29268,0.75806,1,0.99396,0.0095248,0.0095248,0.0095248
50,127.802,0.27423,0.75,0.99194,0.8761,0.0095149,0.0095149,0.0095149
51,130.301,0.24854,0.77419,1,0.94116,0.009505,0.009505,0.009505
52,132.8,0.2284,0.81452,1,0.71533,0.0094951,0.0094951,0.0094951
53,135.334,0.24871,0.78226,1,0.76416,0.0094852,0.0094852,0.0094852
54,137.883,0.23617,0.79032,1,0.77405,0.0094753,0.0094753,0.0094753
55,140.451,0.26122,0.81452,0.99194,0.7384,0.0094654,0.0094654,0.0094654
56,142.967,0.22705,0.80645,0.99194,0.76013,0.0094555,0.0094555,0.0094555
57,145.5,0.19455,0.79032,0.99194,1.09497,0.0094456,0.0094456,0.0094456
58,148.067,0.2525,0.47581,0.99194,2.2854,0.0094357,0.0094357,0.0094357
59,150.585,0.21914,0.70968,1,1.00159,0.0094258,0.0094258,0.0094258
60,153.085,0.24322,0.79839,0.99194,0.72925,0.0094159,0.0094159,0.0094159
61,155.567,0.2757,0.64516,0.99194,1.24695,0.009406,0.009406,0.009406
62,158.117,0.23202,0.73387,0.99194,0.96436,0.0093961,0.0093961,0.0093961
63,160.667,0.23389,0.66935,0.99194,1.35437,0.0093862,0.0093862,0.0093862
64,163.152,0.21932,0.42742,0.97581,3.53223,0.0093763,0.0093763,0.0093763
65,165.651,0.23224,0.74194,1,0.94971,0.0093664,0.0093664,0.0093664
66,168.135,0.23775,0.77419,1,0.99817,0.0093565,0.0093565,0.0093565
67,170.737,0.2213,0.71774,1,1.15051,0.0093466,0.0093466,0.0093466
68,173.218,0.20806,0.74194,0.99194,1.03564,0.0093367,0.0093367,0.0093367
69,175.768,0.19081,0.75806,0.99194,1.08484,0.0093268,0.0093268,0.0093268
70,178.25,0.21729,0.73387,0.99194,1.09277,0.0093169,0.0093169,0.0093169
