epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.69151,1.48544,0.34862,1,1.38843,0.00327273,0.00327273,0.00327273
2,15.0202,1.32513,0.50459,1,1.16016,0.00659952,0.00659952,0.00659952
3,17.3936,1.27233,0.38532,1,1.39856,0.00991971,0.00991971,0.00991971
4,19.7098,1.30518,0.42202,1,1.27686,0.0099703,0.0099703,0.0099703
5,22.0539,1.34158,0.44954,1,1.55737,0.0099604,0.0099604,0.0099604
6,24.3219,1.46113,0.52294,1,1.22693,0.0099505,0.0099505,0.0099505
7,26.6457,1.33529,0.51376,1,1.40723,0.0099406,0.0099406,0.0099406
8,28.862,1.30809,0.33028,1,1.58521,0.0099307,0.0099307,0.0099307
9,31.0993,1.26284,0.3945,1,1.74292,0.0099208,0.0099208,0.0099208
10,33.33,1.3298,0.42202,1,1.53467,0.0099109,0.0099109,0.0099109
11,35.5932,1.29499,0.50459,1,1.32324,0.009901,0.009901,0.009901
12,37.8634,1.28812,0.43119,1,1.47192,0.0098911,0.0098911,0.0098911
13,40.179,1.24712,0.42202,1,1.22961,0.0098812,0.0098812,0.0098812
14,42.4457,1.20288,0.44954,1,1.36377,0.0098713,0.0098713,0.0098713
15,44.7103,1.25633,0.53211,1,1.13208,0.0098614,0.0098614,0.0098614
16,47.0267,1.22291,0.47706,1,1.20215,0.0098515,0.0098515,0.0098515
17,49.2297,1.19445,0.44954,1,1.37231,0.0098416,0.0098416,0.0098416
18,51.4834,1.15177,0.51376,1,1.24219,0.0098317,0.0098317,0.0098317
19,53.7643,1.17467,0.45872,1,1.37402,0.0098218,0.0098218,0.0098218
20,56.2611,1.16266,0.53211,1,1.27637,0.0098119,0.0098119,0.0098119
21,58.7924,1.12642,0.3945,1,1.70825,0.009802,0.009802,0.009802
22,61.1778,1.111,0.51376,1,1.20654,0.0097921,0.0097921,0.0097921
23,63.6438,1.09645,0.48624,1,1.27148,0.0097822,0.0097822,0.0097822
24,65.9814,1.13691,0.47706,1,1.33423,0.0097723,0.0097723,0.0097723
25,68.2925,1.11394,0.50459,1,1.41699,0.0097624,0.0097624,0.0097624
26,70.5421,1.0433,0.51376,1,1.18408,0.0097525,0.0097525,0.0097525
27,72.9317,1.02601,0.44954,1,1.15381,0.0097426,0.0097426,0.0097426
28,75.245,1.01732,0.43119,1,1.50928,0.0097327,0.0097327,0.0097327
29,77.5918,1.05776,0.50459,1,1.21826,0.0097228,0.0097228,0.0097228
30,80.4158,0.99759,0.46789,1,1.4248,0.0097129,0.0097129,0.0097129
31,82.898,1.02198,0.47706,1,1.2998,0.009703,0.009703,0.009703
32,85.321,0.97403,0.54128,1,1.1355,0.0096931,0.0096931,0.0096931
33,87.6907,1.00606,0.46789,1,1.30835,0.0096832,0.0096832,0.0096832
34,90.1325,0.94481,0.47706,1,1.3125,0.0096733,0.0096733,0.0096733
35,92.4821,1.01201,0.42202,1,1.55078,0.0096634,0.0096634,0.0096634
36,94.8197,0.901,0.52294,1,1.30298,0.0096535,0.0096535,0.0096535
37,97.1993,0.93352,0.58716,1,1.22375,0.0096436,0.0096436,0.0096436
38,99.6279,0.95347,0.51376,1,1.14526,0.0096337,0.0096337,0.0096337
39,102.581,0.88018,0.52294,1,1.30457,0.0096238,0.0096238,0.0096238
40,104.977,0.89977,0.51376,1,1.35376,0.0096139,0.0096139,0.0096139
41,107.379,0.86341,0.51376,1,1.26172,0.009604,0.009604,0.009604
42,109.878,0.89158,0.53211,1,1.21899,0.0095941,0.0095941,0.0095941
43,112.122,0.84477,0.43119,1,1.48022,0.0095842,0.0095842,0.0095842
