epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98629,1.17293,3.73773,3.00841,1.57619,0.52585,0.55922,0.4513,0.2935,0.31226,0.35714,0.28851,0.13188,0.75659,2.95758,3.1662,1.44522,5.001e-05,5.001e-05,5.001e-05
2,7.54636,1.1479,3.60049,3.02374,1.49484,0.47663,0.57143,0.47973,0.28369,0.313,0.42857,0.29979,0.12436,0.8167,3.07199,3.15308,1.58389,0.000116574,0.000116574,0.000116574
3,9.46743,1.12509,3.26919,2.71239,1.49042,0.5551,0.92857,0.82723,0.45377,0.70653,0.71429,0.76854,0.43062,1.36123,2.16828,5.75791,2.07078,0.000183007,0.000183007,0.000183007
4,12.0448,0.93699,1.97708,1.93546,1.33209,0.30406,0.78571,0.60044,0.32752,0.71997,0.42857,0.46854,0.34543,1.34294,3.46407,6.55593,1.90446,0.000249307,0.000249307,0.000249307
5,14.0766,0.82097,1.69558,1.46372,1.22513,0.63329,0.81023,0.76581,0.50395,0.41508,0.71429,0.55701,0.39854,1.07802,3.56511,2.99477,1.69369,0.000315476,0.000315476,0.000315476
6,16.1629,0.81562,1.69626,1.27095,1.23694,0.52497,0.64286,0.58998,0.46151,0.56633,0.69695,0.56071,0.37568,1.04853,5.56418,2.84534,1.60033,0.000381512,0.000381512,0.000381512
7,18.1984,0.82276,1.49565,1.12888,1.21405,0.74569,0.84403,0.81866,0.52953,0.80914,0.60626,0.64526,0.3761,1.10902,6.45464,2.51031,1.61453,0.000447416,0.000447416,0.000447416
8,20.596,0.84061,1.72105,1.08541,1.23849,0.55166,0.78571,0.7986,0.54942,0.61804,0.5,0.56698,0.43514,1.09876,4.04969,2.154,1.80958,0.000513189,0.000513189,0.000513189
9,22.9631,0.81535,1.49535,1.10519,1.20804,0.81597,0.85714,0.8321,0.41797,0.38118,0.5,0.4348,0.26373,1.53394,6.19735,3.00668,3.03349,0.000578829,0.000578829,0.000578829
10,25.0628,0.89187,1.38106,1.05804,1.31016,1,0.48702,0.62686,0.43268,1,0.48702,0.51361,0.27181,1.44811,10.1538,2.26513,2.32346,0.000644337,0.000644337,0.000644337
