epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2727,0.93118,0.85654,1.1057,0.76301,0.7402,0.79631,0.46538,1.43913,3.10454,1.45548,0.00328638,0.00328638,0.00328638
2,26.0991,1.00658,0.919,1.13837,0.6532,0.66667,0.67027,0.36798,1.43207,18.1055,1.36096,0.00661644,0.00661644,0.00661644
3,38.4567,1.05831,1.02587,1.15666,0.66928,0.61504,0.6035,0.30282,1.854,9.98001,1.73029,0.0099432,0.0099432,0.0099432
4,50.87,1.12312,1.12998,1.18974,0.65561,0.69118,0.64617,0.34535,1.51572,7.38167,1.36151,0.00998515,0.00998515,0.00998515
5,63.1753,1.17336,1.14812,1.21073,0.70489,0.63235,0.67034,0.35204,1.60448,4.07462,1.4777,0.0099802,0.0099802,0.0099802
6,75.4796,1.18368,1.13601,1.21035,0.62228,0.45098,0.50526,0.26188,1.68313,6.95298,1.50524,0.00997525,0.00997525,0.00997525
7,87.8079,1.1814,1.10238,1.22117,0.76872,0.73318,0.79118,0.43254,1.57892,8.54608,1.50944,0.0099703,0.0099703,0.0099703
8,100.157,1.17457,1.12062,1.2045,0.80818,0.28914,0.5354,0.26472,1.68781,3.15375,1.67847,0.00996535,0.00996535,0.00996535
9,112.5,1.20641,1.08162,1.22334,0.66118,0.72699,0.72464,0.40744,1.43049,10.8374,1.34837,0.0099604,0.0099604,0.0099604
10,124.881,1.19336,1.05098,1.22719,0.53151,0.55392,0.53554,0.29485,1.4963,18.5077,1.37778,0.00995545,0.00995545,0.00995545
11,137.241,1.20066,1.04032,1.23746,0.68253,0.80093,0.77175,0.43218,1.47859,5.74253,1.36784,0.0099505,0.0099505,0.0099505
12,149.622,1.17965,1.07432,1.21848,0.73887,0.7549,0.79637,0.45035,1.31625,2.35629,1.26041,0.00994555,0.00994555,0.00994555
13,161.967,1.15111,1.0173,1.19402,0.71798,0.71078,0.75662,0.42599,1.39499,4.56025,1.29298,0.0099406,0.0099406,0.0099406
14,174.349,1.15667,0.99516,1.1958,0.71084,0.7549,0.80149,0.47161,1.29038,2.21784,1.28069,0.00993565,0.00993565,0.00993565
15,187.028,1.14434,1.0112,1.18104,0.68959,0.67157,0.68864,0.36647,1.66367,5.02569,1.64906,0.0099307,0.0099307,0.0099307
16,199.452,1.12702,0.95489,1.18007,0.67161,0.68174,0.68938,0.387,1.49988,3.70765,1.46012,0.00992575,0.00992575,0.00992575
17,211.911,1.16,0.99295,1.21017,0.79254,0.76777,0.81152,0.48305,1.28445,5.79128,1.26633,0.0099208,0.0099208,0.0099208
