epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6902,0.62568,0.47768,0.95114,0.85136,0.78618,0.85983,0.5559,1.31959,2.57877,1.38632,0.00328638,0.00328638,0.00328638
2,26.8954,0.5797,0.43336,0.93563,0.88919,0.7402,0.85265,0.56763,1.28718,2.06383,1.35227,0.00661644,0.00661644,0.00661644
3,39.85,0.56308,0.42482,0.91985,0.82053,0.81863,0.82781,0.52947,1.29271,3.42186,1.32985,0.0099432,0.0099432,0.0099432
4,52.54,0.57573,0.45085,0.92111,0.84667,0.75,0.80373,0.52278,1.2312,2.93701,1.29428,0.00998515,0.00998515,0.00998515
5,65.229,0.61357,0.45865,0.9367,0.87606,0.76229,0.85355,0.55912,1.35133,1.59494,1.37139,0.0099802,0.0099802,0.0099802
6,77.9362,0.61817,0.47227,0.93916,0.8298,0.80392,0.85558,0.55102,1.32962,3.48983,1.37337,0.00997525,0.00997525,0.00997525
7,90.6481,0.62523,0.46592,0.95173,0.84182,0.78264,0.82945,0.5343,1.23363,3.13444,1.30688,0.0099703,0.0099703,0.0099703
8,103.42,0.63033,0.49216,0.94513,0.84922,0.80882,0.8457,0.55611,1.19367,2.27175,1.29775,0.00996535,0.00996535,0.00996535
9,116.199,0.63728,0.48143,0.93646,0.86507,0.7549,0.82907,0.51032,1.32382,2.09703,1.3896,0.0099604,0.0099604,0.0099604
10,128.928,0.64529,0.48588,0.95102,0.88816,0.7549,0.83781,0.53762,1.28465,1.3724,1.3445,0.00995545,0.00995545,0.00995545
11,141.729,0.64426,0.48055,0.96391,0.78058,0.8022,0.82401,0.52668,1.21776,6.14205,1.3361,0.0099505,0.0099505,0.0099505
12,154.502,0.64095,0.49849,0.95059,0.87785,0.7402,0.84223,0.5476,1.33655,2.42636,1.39469,0.00994555,0.00994555,0.00994555
13,167.397,0.62236,0.45404,0.93456,0.83787,0.76961,0.81602,0.50976,1.35246,1.90429,1.36533,0.0099406,0.0099406,0.0099406
14,180.223,0.6435,0.47292,0.94134,0.87692,0.78431,0.85404,0.55919,1.25428,4.09529,1.28244,0.00993565,0.00993565,0.00993565
15,193.032,0.64471,0.481,0.94331,0.86531,0.76961,0.8509,0.54137,1.37222,3.21562,1.3865,0.0099307,0.0099307,0.0099307
16,205.859,0.61513,0.45371,0.93433,0.79809,0.80882,0.78054,0.51959,1.29908,6.08859,1.3551,0.00992575,0.00992575,0.00992575
17,218.68,0.61915,0.46552,0.94311,0.83117,0.80392,0.83946,0.55727,1.3655,4.30507,1.37723,0.0099208,0.0099208,0.0099208
18,231.486,0.61631,0.45019,0.9294,0.81693,0.81373,0.8339,0.53519,1.3258,4.37554,1.34429,0.00991585,0.00991585,0.00991585
19,244.317,0.642,0.47599,0.95754,0.83843,0.78857,0.84232,0.53938,1.55314,3.73331,1.57146,0.0099109,0.0099109,0.0099109
