epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6406,1.17422,4.40753,1.34772,0.53489,0.35762,0.20625,0.13771,0.75394,3.1801,1.01393,0.00326923,0.00326923,0.00326923
2,40.253,1.19603,2.54262,1.391,0.33474,0.63524,0.24024,0.16674,0.78159,7.21322,1.05744,0.00659603,0.00659603,0.00659603
3,50.7747,1.17711,1.93425,1.31178,0.37604,0.58947,0.2823,0.19749,0.81239,5.16031,1.02027,0.00991622,0.00991622,0.00991622
4,61.2346,1.2177,1.77997,1.316,0.39305,0.54466,0.30109,0.20107,0.83406,7.65286,1.00392,0.0099703,0.0099703,0.0099703
5,71.7943,1.1516,1.71781,1.28054,0.45016,0.52481,0.34907,0.2499,0.82313,5.86276,1.00948,0.0099604,0.0099604,0.0099604
6,82.2848,1.14931,1.62636,1.27395,0.51285,0.5293,0.39877,0.2759,0.83104,8.67528,1.00223,0.0099505,0.0099505,0.0099505
7,92.8708,1.15642,1.62878,1.27022,0.54132,0.43582,0.41916,0.29117,0.84134,5.55099,1.01789,0.0099406,0.0099406,0.0099406
8,103.453,1.16412,1.6067,1.27788,0.48717,0.55581,0.37703,0.25535,0.8545,4.88034,1.00979,0.0099307,0.0099307,0.0099307
9,113.964,1.11242,1.53998,1.24439,0.53798,0.53977,0.40838,0.27702,0.83493,6.05476,0.98388,0.0099208,0.0099208,0.0099208
10,124.494,1.12441,1.51368,1.24712,0.29488,0.68376,0.4361,0.28905,0.87871,5.60582,1.01889,0.0099109,0.0099109,0.0099109
11,135.034,1.07597,1.47688,1.21096,0.56561,0.54561,0.45664,0.29292,0.85891,8.23057,1.01065,0.009901,0.009901,0.009901
12,145.72,1.04732,1.43273,1.21005,0.39645,0.63039,0.45393,0.30886,0.82934,3.84196,0.98906,0.0098911,0.0098911,0.0098911
13,156.492,1.11101,1.44854,1.22926,0.5751,0.50847,0.43232,0.28652,0.88427,2.70839,1.01424,0.0098812,0.0098812,0.0098812
14,166.983,1.08444,1.44895,1.20504,0.34996,0.68028,0.44674,0.30565,0.85312,5.02158,0.98657,0.0098713,0.0098713,0.0098713
15,177.467,1.09782,1.36779,1.22664,0.58896,0.51952,0.46764,0.31415,0.87411,3.38228,1.00129,0.0098614,0.0098614,0.0098614
16,188.152,1.07864,1.37086,1.20754,0.35425,0.61778,0.44321,0.29021,0.91078,3.89645,1.02207,0.0098515,0.0098515,0.0098515
17,198.729,1.05543,1.36423,1.18183,0.37186,0.58243,0.4756,0.32426,0.88578,4.06242,1.01809,0.0098416,0.0098416,0.0098416
18,209.531,1.03123,1.34448,1.17773,0.3254,0.63762,0.39677,0.27134,0.89224,3.1979,1.02983,0.0098317,0.0098317,0.0098317
19,220.064,1.06083,1.3506,1.19181,0.40193,0.65297,0.48988,0.33348,0.89158,3.83703,1.03437,0.0098218,0.0098218,0.0098218
20,230.685,1.02831,1.32068,1.15951,0.43877,0.5594,0.48338,0.31966,0.88535,6.17499,1.02624,0.0098119,0.0098119,0.0098119
